run_id,model,block,matrix,ngl,ub,t,ctk,mmp,fa,moe_cpu_frac,status,tok_s,stddev_ts,reps_tok_s,wall_s,settle_s,free_ram_gb_pre,temp_pre,sm_mhz_pre,mem_mhz_pre,vram_mib_pre,power_w_pre,temp_post,sm_mhz_post,mem_mhz_post,vram_mib_post,power_w_post,ts_utc,cmd
06a1554e06e4322e,7B,13,AB_ctk,19,512,4,f16,0,0,,ok,13.031234,0.013053,"[13.0285, 13.0455, 13.0198]",31.7,35.4,12.93,52,139,405,400,8.88,61,1847,4006,400,38.95,2026-08-16 21:53:05 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 19 -ub 512 -t 4 -ctk f16 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
012e452b34824436,7B,14,A,19,2048,3,f16,0,0,,ok,12.594167,0.080876,"[12.6802, 12.5827, 12.5196]",32.8,30.4,12.93,52,139,405,400,8.78,61,1847,4006,400,39.04,2026-08-16 21:54:08 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 19 -ub 2048 -t 3 -ctk f16 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
030807ee7291d018,7B,14,B,9,512,2,f16,0,0,,ok,7.078218,0.086158,"[7.1763, 7.0437, 7.0146]",56.7,35.4,12.91,52,139,405,400,9.07,52,885,3802,400,26.01,2026-08-16 21:55:41 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 9 -ub 512 -t 2 -ctk f16 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
c0d16203c489a079,7B,14,AB_ngl,9,2048,3,f16,0,0,,ok,8.077102,0.109357,"[8.2034, 8.0141, 8.0139]",50.0,30.4,12.92,49,139,405,400,8.78,50,898,3802,398,25.91,2026-08-16 21:57:02 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 9 -ub 2048 -t 3 -ctk f16 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
6fb33659e6d8ef1a,7B,14,AB_ub,19,512,3,f16,0,0,,ok,12.722005,0.042926,"[12.6727, 12.7507, 12.7427]",32.4,30.4,12.92,47,139,405,398,8.78,57,1860,4006,400,38.65,2026-08-16 21:58:05 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 19 -ub 512 -t 3 -ctk f16 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
cf8bf02058dc8869,7B,14,AB_t,19,2048,2,f16,0,0,,ok,11.166966,0.063442,"[11.1341, 11.1267, 11.2401]",36.6,30.4,12.92,50,139,405,398,8.59,56,1645,4006,398,32.62,2026-08-16 21:59:12 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 19 -ub 2048 -t 2 -ctk f16 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
6a14fc90b5e97eba,7B,14,AB_ctk,19,2048,3,f16,0,0,,ok,12.670378,0.054036,"[12.6087, 12.6928, 12.7096]",32.5,30.4,12.92,51,139,405,398,8.68,60,1847,4006,398,38.74,2026-08-16 22:00:16 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 19 -ub 2048 -t 3 -ctk f16 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
4014541eb8ad3268,7B,15,A,99,512,1,q8_0,0,0,,ok,22.340016,0.042556,"[22.3866, 22.3302, 22.3032]",19.3,30.4,12.9,52,139,405,398,9.07,65,1809,4006,398,38.85,2026-08-16 22:01:06 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 99 -ub 512 -t 1 -ctk q8_0 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
b1fd821be0cc36bd,7B,15,B,19,1024,2,q8_0,0,0,,ok,11.269559,0.055091,"[11.2909, 11.207, 11.3108]",36.3,40.5,12.92,52,139,405,398,8.97,57,1657,4006,400,33.48,2026-08-16 22:02:23 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 19 -ub 1024 -t 2 -ctk q8_0 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
25b974a1b24b85b7,7B,15,AB_ngl,19,512,1,q8_0,0,0,,ok,7.48604,0.09788,"[7.537, 7.5479, 7.3732]",53.6,30.4,12.92,51,139,405,400,8.78,57,1417,4006,398,30.03,2026-08-16 22:03:47 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 19 -ub 512 -t 1 -ctk q8_0 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
